cd_tool,var1,cor_n_clone_true,cor_n_samples,cor_purity,cor_n_snvs,cor_depth,cor_cnv_burden,cor_seqz_mse,p.adj.signif_n_clone_true,p.adj.signif_n_samples,p.adj.signif_purity,p.adj.signif_n_snvs,p.adj.signif_depth,p.adj.signif_cnv_burden,p.adj.signif_seqz_mse
cloe,ARI,-0.071,0.2,0.082,-0.19,0.087,-0.13,-0.033,,*,,*,,,
clonefinder,ARI,-0.019,0.063,-0.03,-0.052,0.065,-0.18,-0.074,,,,,,,
lichee,ARI,0.22,0.15,0.095,-0.074,0.16,-0.36,0.044,*,,,,,***,
phylowgs,ARI,-0.21,0.011,0.16,0.09,0.077,0.38,0.19,,,,,,*,
pyclone,ARI,0.19,0.012,0.22,-0.43,0.071,-0.57,-0.26,,,,**,,***,
pyclonevi,ARI,0.4,0.15,0.14,-0.11,0.058,-0.6,-0.18,***,*,,,,***,**
sciclone,ARI,0.084,0.19,0.11,0.03,0.13,-0.24,-0.019,,**,,,,***,
cloe,V_measure,0.077,0.17,0.12,-0.19,0.098,-0.2,-0.05,,,,*,,,
clonefinder,V_measure,0.25,0.04,0.0045,-0.034,0.081,-0.3,-0.1,***,,,,,***,
lichee,V_measure,0.41,0.08,0.082,-0.077,0.16,-0.48,0.035,***,,,,,***,
phylowgs,V_measure,-0.21,-0.031,0.24,0.19,0.21,0.5,0.36,,,,,,***,**
pyclone,V_measure,0.43,0.039,0.23,-0.41,0.059,-0.62,-0.29,*,,,*,,***,
pyclonevi,V_measure,0.52,0.12,0.13,-0.043,0.068,-0.56,-0.097,***,,,,,***,
sciclone,V_measure,0.29,0.13,0.12,0.062,0.12,-0.33,-0.0069,***,,,,,***,
