cd_tool,var1,cor_n_clone_true,cor_n_samples,cor_purity,cor_n_snvs,cor_depth,cor_cnv_burden,cor_seqz_mse,p.adj.signif_n_clone_true,p.adj.signif_n_samples,p.adj.signif_purity,p.adj.signif_n_snvs,p.adj.signif_depth,p.adj.signif_cnv_burden,p.adj.signif_seqz_mse
cloe,clone_num_err,-0.84,0.033,0.028,-0.074,0.048,0.42,0.17,***,,,,,***,
clonefinder,clone_num_err,-0.38,0.68,-0.048,0.071,-0.33,0.23,0.084,***,***,,,***,**,
lichee,clone_num_err,-0.044,0.44,-0.045,0.18,-0.21,0.091,0.13,,***,,,,,
phylowgs,clone_num_err,-0.96,0.15,0.12,0.055,0.13,0.52,0.31,***,,,,,***,*
pyclone,clone_num_err,0.27,-0.38,0.12,0.41,-0.12,0.21,0.18,,,,*,,,
pyclonevi,clone_num_err,-0.37,0.17,0.088,0.41,-0.034,0.62,0.43,***,*,,***,,***,***
sciclone,clone_num_err,-0.59,0.42,0.056,0.14,-0.17,0.33,0.11,***,***,,,**,***,
cloe,n_clone_inf,0.15,-0.033,0.059,-0.05,0.088,0.04,0.12,,,,,,,
clonefinder,n_clone_inf,0.22,0.65,-0.075,0.075,-0.37,-0.032,-0.013,**,***,,,***,,
lichee,n_clone_inf,0.61,0.24,-0.099,0.08,-0.19,-0.34,0.026,***,**,,,,***,
phylowgs,n_clone_inf,-0.054,-0.21,0.39,0.34,0.41,0.41,0.56,,,***,**,***,*,***
pyclone,n_clone_inf,0.28,-0.38,0.12,0.41,-0.12,0.2,0.18,,*,,*,,,
pyclonevi,n_clone_inf,0.33,0.13,0.079,0.46,-0.056,0.29,0.38,***,,,***,,***,***
sciclone,n_clone_inf,0.45,0.42,0.036,0.22,-0.23,-0.16,0.041,***,***,,***,***,,
