cd_tool,var1,cor_n_clones,cor_n_samples,cor_purity,cor_n_snvs,cor_depth,p.adj.signif_n_clones,p.adj.signif_n_samples,p.adj.signif_purity,p.adj.signif_n_snvs,p.adj.signif_depth
cloe,CASet_isect,0.26,-0.28,-0.0033,0.12,0.18,ns,ns,ns,ns,ns
clonefinder,CASet_isect,0.57,-0.056,-0.11,0.11,-0.11,****,ns,ns,ns,ns
lichee,CASet_isect,-0.27,-0.0094,-0.14,0.2,-0.19,**,ns,ns,ns,ns
phylowgs,CASet_isect,0.67,-0.067,0.28,-0.14,-0.057,****,ns,ns,ns,ns
cloe,CASet_union,0.23,-0.14,-0.035,0.2,0.14,ns,ns,ns,ns,ns
clonefinder,CASet_union,0.44,-0.06,-0.017,0.31,0.28,****,ns,ns,****,****
lichee,CASet_union,-0.17,-0.11,-0.15,0.21,-0.19,ns,ns,ns,ns,ns
phylowgs,CASet_union,0.53,0.004,0.19,-0.021,-0.097,****,ns,ns,ns,ns
cloe,DISC_isect,0.48,-0.073,-0.029,0.03,-0.052,*,ns,ns,ns,ns
clonefinder,DISC_isect,0.57,-0.064,-0.11,0.093,-0.2,****,ns,ns,ns,*
lichee,DISC_isect,0.72,-0.26,-0.17,0.09,-0.11,****,**,ns,ns,ns
phylowgs,DISC_isect,0.82,-0.17,0.3,-0.01,0.1,****,ns,ns,ns,ns
cloe,DISC_union,0.76,-0.19,-0.24,0.34,-0.16,****,ns,ns,ns,ns
clonefinder,DISC_union,0.59,0.067,-0.028,-0.098,-0.41,****,ns,ns,ns,****
lichee,DISC_union,0.78,-0.29,-0.15,0.078,-0.092,****,***,ns,ns,ns
phylowgs,DISC_union,0.82,-0.24,0.12,0.25,0.19,****,ns,ns,ns,ns
